Date,FTSEAW,EUSA30
2019-01-02,66.120003,1.321
2019-01-03,65.110001,1.328
2019-01-04,66.529999,1.374
2019-01-07,66.790001,1.377
2019-01-08,67.169998,1.389
2019-01-09,67.550003,1.407
2019-01-10,67.879997,1.402
2019-01-11,67.980003,1.394
2019-01-14,67.690002,1.391
2019-01-15,68.529999,1.379
2019-01-16,68.959999,1.385
2019-01-17,69.040001,1.382
2019-01-18,70.43,1.399
2019-01-21,70.059998,1.393
2019-01-22,69.68,1.367
2019-01-23,69.330002,1.35
2019-01-24,69.779999,1.298
2019-01-25,70.330002,1.3
2019-01-28,69.260002,1.312
2019-01-29,69.559998,1.297
2019-01-30,70.080002,1.281
2019-01-31,70.779999,1.23
2019-02-01,70.839996,1.284
2019-02-04,71.029999,1.279
2019-02-05,71.949997,1.272
2019-02-06,71.989998,1.261
2019-02-07,71.010002,1.236
2019-02-08,70.720001,1.208
2019-02-11,71.690002,1.238
2019-02-12,72.129997,1.247
2019-02-13,72.510002,1.243
2019-02-14,72.199997,1.228
2019-02-15,72.959999,1.233
2019-02-18,73.010002,1.249
2019-02-19,72.760002,1.243
2019-02-20,73.139999,1.223
2019-02-21,73.029999,1.243
2019-02-22,73.480003,1.213
2019-02-25,73.739998,1.235
2019-02-26,73.639999,1.243
2019-02-27,73.220001,1.266
2019-02-28,73.18,1.297
2019-03-01,73.32,1.308
2019-03-04,73.559998,1.289
2019-03-05,73.910004,1.2874
2019-03-06,73.550003,1.255
2019-03-07,73.489998,1.2037
2019-03-08,72.699997,1.155
2019-03-11,73.839996,1.176
2019-03-12,73.730003,1.178
2019-03-13,74.089996,1.192
2019-03-14,74.050003,1.203
2019-03-15,74.580002,1.203
2019-03-18,74.419998,1.187
2019-03-19,75.059998,1.2074
2019-03-20,74.220001,1.195
2019-03-21,74.709999,1.156
2019-03-22,73.970001,1.078
2019-03-25,73.690002,1.045
2019-03-26,74.32,1.0417
2019-03-27,74.269997,1.007
2019-03-28,74.029999,1.035
2019-03-29,74.699997,1.064
2019-04-01,75.580002,1.102
2019-04-02,75.790001,1.091
2019-04-03,76.160004,1.143
2019-04-04,76.0,1.107
2019-04-05,76.349998,1.115
2019-04-08,76.110001,1.108
2019-04-09,75.839996,1.105
2019-04-10,76.089996,1.081
2019-04-11,75.989998,1.096
2019-04-12,76.029999,1.151
2019-04-15,76.059998,1.1646
2019-04-16,76.419998,1.181
2019-04-17,76.260002,1.18
2019-04-18,76.57,1.1274
2019-04-23,77.220001,1.139
2019-04-24,77.220001,1.086
2019-04-25,77.330002,1.107
2019-04-26,77.43,1.091
2019-04-29,77.620003,1.107
2019-04-30,77.269997,1.098
2019-05-02,76.889999,1.12
2019-05-03,77.519997,1.115
2019-05-06,76.830002,1.103
2019-05-07,76.089996,1.07
2019-05-08,75.919998,1.064
2019-05-09,74.440002,1.072
2019-05-10,74.330002,1.0774
2019-05-13,73.699997,1.033
2019-05-14,74.68,1.025
2019-05-15,74.949997,0.996
2019-05-16,75.889999,1.018
2019-05-17,75.5,1.017
2019-05-20,74.779999,1.036
2019-05-21,75.239998,1.044
2019-05-22,75.230003,1.032
2019-05-23,74.18,1.001
2019-05-24,74.18,1.009
2019-05-27,74.440002,0.979
2019-05-28,74.419998,0.968
2019-05-29,73.629997,0.946
2019-05-30,73.940002,0.953
2019-05-31,73.370003,0.918
2019-06-03,73.099998,0.896
2019-06-04,73.470001,0.875
2019-06-05,73.889999,0.857
2019-06-06,74.029999,0.828
2019-06-07,74.769997,0.799
2019-06-10,75.43,0.873
2019-06-11,75.480003,0.854
2019-06-12,75.07,0.857
2019-06-13,75.349998,0.83
2019-06-14,75.43,0.792
2019-06-17,75.489998,0.81
2019-06-18,76.720001,0.752
2019-06-19,76.699997,0.767
2019-06-20,77.019997,0.7387
2019-06-21,76.900002,0.776
2019-06-24,76.410004,0.776
2019-06-25,76.050003,0.72
2019-06-26,75.889999,0.74
2019-06-27,75.370003,0.718
2019-06-28,75.720001,0.7233
2019-07-01,76.839996,0.7176
2019-07-02,76.93,0.72
2019-07-03,77.5,0.661
2019-07-04,77.839996,0.6183
2019-07-05,77.559998,0.6517
2019-07-08,77.410004,0.634
2019-07-09,77.300003,0.669
2019-07-10,77.360001,0.705
2019-07-11,77.519997,0.786
2019-07-12,77.620003,0.798
2019-07-15,77.730003,0.7454
